"","X1","probs","quinteto","Year","Player","Pos"
"102",413,0.0984454570618793,0,2015,"Timofey Mozgov","C"
"103",640,0.0939498499360625,0,2015,"Brandan Wright","PF"
"104",355,0.0935432527552527,0,2015,"Robin Lopez","C"
"105",100,0.0929684393948045,0,2015,"DeMarre Carroll","SF"
"106",332,0.090473667787792,0,2015,"Kyle Korver","SG"
"107",388,0.0901117486376139,0,2015,"Khris Middleton","SF"
"108",621,0.0890110787352719,0,2015,"Deron Williams","PG"
"109",129,0.0864995429512446,0,2015,"Jamal Crawford","SG"
"110",597,0.0850473557602066,0,2015,"Anderson Varejao","C"
"111",367,0.084732661753616,0,2015,"Kevin Martin","SG"
"112",49,0.0839407744547549,0,2015,"Bradley Beal","SG"
"113",182,0.0827296485964542,0,2015,"Tyler Ennis","PG"
"114",530,0.0810041836260664,0,2015,"Alexey Shved","SG"
"115",90,0.0803987865319983,0,2015,"Dwight Buycks","PG"
"116",45,0.0802531872127842,0,2015,"Nicolas Batum","SF"
"117",624,0.080197130771277,0,2015,"Elliot Williams","SG"
"118",91,0.078241999313832,0,2015,"Will Bynum","SG"
"119",438,0.0780776478536823,0,2015,"Victor Oladipo","SG"
"120",321,0.076130592596567,0,2015,"Enes Kanter","C"
"121",562,0.0760819982603472,0,2015,"Amar'e Stoudemire","PF"
"122",235,0.0751132757070754,0,2015,"Jeff Green","SF"
"123",488,0.0747157628773578,0,2015,"J.J. Redick","SG"
"124",549,0.0746293494426896,0,2015,"Josh Smith","PF"
"125",26,0.0746009998687383,0,2015,"Trevor Ariza","SF"
"126",103,0.073883779946132,0,2015,"Michael Carter-Williams","PG"
"127",237,0.0724566004168383,0,2015,"Jeff Green","SF"
"128",86,0.0699664985779869,0,2015,"Alec Burks","SG"
"129",102,0.0699595020242095,0,2015,"Michael Carter-Williams","PG"
"130",443,0.0688057741441125,0,2015,"Jannero Pargo","PG"
"131",287,0.0668822243938452,0,2015,"Reggie Jackson","PG"
"132",511,0.0640661680691395,0,2015,"Ricky Rubio","PG"
"133",641,0.0623788226090288,0,2015,"Brandan Wright","PF"
"134",157,0.0615048193808518,0,2015,"Luol Deng","SF"
"135",37,0.0610129221505432,0,2015,"Andrea Bargnani","C"
"136",216,0.0607179188183595,0,2015,"Taj Gibson","PF"
"137",542,0.0592336195272562,0,2015,"Ish Smith","PG"
"138",649,0.0587379210273001,0,2015,"Thaddeus Young","PF"
"139",425,0.0581437676319642,0,2015,"Jameer Nelson","PG"
"140",217,0.058061656551191,0,2015,"Manu Ginobili","SG"
"141",550,0.0571587999454954,0,2015,"Russ Smith","PG"
