"","probs","Player","Tm","Pos","Age","G","USG.","TOV.","FTA","FT.","X2PA","X2P.","X3PA","X3P.","eFG.","TS.","TRB.","AST.","PTS","MP","TRB","AST","STL","BLK","TOV"
"187",8.84596298613611,"Danilo Gallinari","Okc","F",31.59,55,24.4,7.5,264,0.886,346,0.474,403,0.409,0.549,0.611,9.8,10.5,1056,1688.5,302.5,115.5,40.15,3.85,69.85
"468",8.84015828965447,"Ricky Rubio","Pho","G",29.39,57,20.2,18.1,204,0.853,423,0.44,188,0.351,0.466,0.531,8.2,39.9,746.7,1801.2,262.2,507.3,87.78,9.12,155.04
"444",8.56647597484396,"Kristaps Porzingis","Dal","F-C",24.61,51,26.6,8.5,228,0.776,447,0.477,361,0.349,0.498,0.54,15.8,8.6,979.2,1596.3,484.5,86.7,36.21,106.08,84.15
"499",8.25530464365285,"Jayson Tatum","Bos","F-G",22.03,59,28.6,9.6,279,0.806,694,0.478,420,0.398,0.523,0.562,11,14,1392.4,2041.4,418.9,171.1,83.78,53.1,130.98
"72",8.00920128081237,"Malcolm Brogdon","Ind","G",27.25,48,25.3,13.6,162,0.895,465,0.49,195,0.313,0.484,0.536,8.5,34.5,782.4,1473.6,225.6,340.8,33.12,8.16,115.2
"374",7.9211026847989,"Donovan Mitchell","Uta","G",23.51,63,31,10.9,290,0.859,807,0.501,428,0.364,0.517,0.56,7,21.2,1524.6,2167.2,277.2,264.6,66.15,11.97,166.95
"449",7.71112617831166,"Julius Randle","Nyk","C-F",25.28,64,27.6,14.3,352,0.733,774,0.516,231,0.277,0.493,0.538,16,15.8,1248,2080,620.8,198.4,51.2,21.76,193.92
"52",7.63392588457631,"Eric Bledsoe","Mil","G",30.26,56,24.1,15.8,193,0.813,462,0.539,201,0.348,0.534,0.578,8.5,28.5,862.4,1523.2,263.2,302.4,52.08,25.2,140
"284",7.47221146846473,"James Johnson","Min","F",33.06,14,21.4,18.8,34,0.676,82,0.573,46,0.37,0.566,0.588,10.3,24.4,168,338.8,65.8,53.2,18.06,20.02,33.04
"495",7.23885476405175,"Max Strus","Chi","G-F",23.95,2,23.6,0,1,1,2,1,1,0,0.667,0.727,8.9,0,5,6.2,1,0,0,0,0
"232",6.87240334256202,"Gordon Hayward","Bos","F",29.97,45,20.9,10.8,111,0.847,418,0.553,189,0.392,0.563,0.593,10.5,19.1,778.5,1503,292.5,184.5,35.1,19.8,79.2
"26",6.86675334266084,"J.J. Barea","Dal","G",35.71,26,24.3,15.8,18,0.944,103,0.437,76,0.382,0.494,0.519,6.4,37.7,195,390,46.8,98.8,3.9,2.08,35.1
"227",6.77615089650999,"Tobias Harris","Phi","F",27.66,65,23.6,7.9,191,0.806,723,0.521,323,0.362,0.528,0.557,10.8,14.6,1261,2242.5,442,208,48.1,35.1,96.85
"253",6.59704850585535,"Al Horford","Phi","C-F",33.77,60,17.6,8.7,73,0.753,390,0.513,264,0.337,0.51,0.526,12.3,19.2,720,1848,414,246,54,55.2,64.8
"521",6.49838368722156,"Jonas Valanciunas","Mem","C",27.85,62,21.4,12.7,168,0.732,580,0.614,79,0.367,0.606,0.629,22.5,10.2,923.8,1630.6,700.6,111.6,26.04,68.82,107.26
"273",5.75586920089508,"Reggie Jackson","Det","G",29.9,14,27,9.8,33,0.788,116,0.388,82,0.378,0.462,0.492,6.1,30.8,208.6,380.8,40.6,71.4,7.98,0.98,22.96
"211",5.62047516475196,"Blake Griffin","Det","F",30.99,18,28.4,12,98,0.776,139,0.439,111,0.243,0.406,0.476,9.3,18,279,513,84.6,59.4,7.02,7.02,39.96
"94",5.49568141682165,"DeMarre Carroll","Hou","F",33.63,6,16.4,15.8,16,0.75,11,0.727,14,0.286,0.56,0.624,8.8,10.1,40.2,96,16.2,7.2,1.98,1.98,6
"470",5.28662108505471,"D'Angelo Russell","Min","G",24.05,12,29.5,16.7,55,0.873,100,0.49,110,0.345,0.505,0.555,7.4,33.1,260.4,391.2,55.2,79.2,17.04,3.96,47.04
"118",5.25728737836534,"John Collins","Atl","F",22.47,41,22.7,10.1,150,0.8,458,0.642,147,0.401,0.632,0.659,16.4,7.6,885.6,1361.2,414.1,61.5,31.16,66.01,75.03
"550",5.16730091572502,"Andrew Wiggins","Min","F",25.05,42,27.9,10.7,207,0.72,515,0.505,275,0.331,0.502,0.535,7.9,18.1,940.8,1457.4,218.4,155.4,28.98,36.12,105.84
"500",5.09849922631322,"Jeff Teague","Min","G",31.75,34,20.2,16.4,144,0.868,238,0.471,87,0.379,0.497,0.577,4.9,32.5,448.8,945.2,88.4,207.4,25.16,12.92,76.16
"200",5.03067378008635,"Devonte' Graham","Cha","G",25.05,63,24.8,14.5,233,0.82,378,0.397,585,0.373,0.495,0.537,5.2,35.4,1146.6,2211.3,207.9,472.5,61.74,15.12,180.81
"223",4.60477567835776,"Montrezl Harrell","Lac","F-C",26.12,63,25.6,10,351,0.658,795,0.592,18,0,0.579,0.606,13.2,10.3,1171.8,1751.4,447.3,107.1,39.69,69.93,107.73
"135",4.31510217990545,"Troy Daniels","Den","F",28.66,1,62.1,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0,0,0,0,0
