"","probs","quinteto","Year","Player"
"104",1.16156383850777,0,2015,"Michael Carter-Williams"
"308",1.12259764516819,0,2015,"Joe Johnson"
"471",1.11918281262648,0,2015,"A.J. Price"
"36",1.11555782549938,0,2015,"J.J. Barea"
"506",1.0724482837827,0,2015,"Rajon Rondo"
"37",1.03984272450396,0,2015,"Andrea Bargnani"
"165",1.03629901569685,1,2015,"Goran Dragic"
"229",1.03246640411161,0,2015,"Draymond Green"
"401",1.02744852207833,0,2015,"Nikola Mirotic"
"599",1.02085057404574,0,2015,"Charlie Villanueva"
"52",1.00944904347496,0,2015,"Jerrelle Benimon"
"320",1.00333013963083,0,2015,"Enes Kanter"
"467",0.983695073405202,0,2015,"Dwight Powell"
"518",0.971378608316712,0,2015,"Dennis Schroder"
"44",0.95077436204096,0,2015,"Brandon Bass"
"68",0.927975975894993,0,2015,"Carlos Boozer"
"597",0.922634139218941,0,2015,"Anderson Varejao"
"65",0.919260397138899,0,2015,"Andrew Bogut"
"322",0.918983976166633,0,2015,"Enes Kanter"
"215",0.906087793485844,1,2015,"Paul George"
"264",0.891678998507252,0,2015,"Roy Hibbert"
"453",0.872491821214755,0,2015,"Nikola Pekovic"
"525",0.85987540725666,0,2015,"Ramon Sessions"
"157",0.844639483104166,0,2015,"Luol Deng"
"480",0.838742225452403,0,2015,"Tayshaun Prince"
"29",0.829870127403658,0,2015,"D.J. Augustin"
"505",0.822604213651113,0,2015,"Thomas Robinson"
"235",0.809490544451335,0,2015,"Jeff Green"
"189",0.797771038796036,0,2015,"Kenneth Faried"
"266",0.784820679450672,0,2015,"Nene Hilario"
"537",0.779371764533871,0,2015,"Donald Sloan"
"75",0.771867698212908,0,2015,"Aaron Brooks"
"565",0.770510323782864,0,2015,"Jared Sullinger"
"35",0.746946403678598,0,2015,"Leandro Barbosa"
"228",0.744715931092707,0,2015,"Danny Green"
"422",0.717377140201627,0,2015,"Gary Neal"
"596",0.696752946281441,0,2015,"Jonas Valanciunas"
"28",0.691698421599949,0,2015,"Omer Asik"
"279",0.687771238211023,0,2015,"Kris Humphries"
"502",0.683200334983379,0,2015,"Nate Robinson"
"101",0.678155383698093,0,2015,"Vince Carter"
"192",0.665692217871805,0,2015,"Raymond Felton"
"166",0.659547996664189,1,2015,"Goran Dragic"
"470",0.657341290427631,0,2015,"A.J. Price"
"477",0.647351039656765,0,2015,"Pablo Prigioni"
"413",0.646119308151803,0,2015,"Timofey Mozgov"
"287",0.642336590281292,0,2015,"Reggie Jackson"
"651",0.636515303866339,0,2015,"Tyler Zeller"
"159",0.6279261109779,0,2015,"Boris Diaw"
"402",0.627879091871152,0,2015,"Nazr Mohammed"
"260",0.625504377491586,0,2015,"Brendan Haywood"
"387",0.612026871740076,0,2015,"Gal Mekel"
"10",0.610443111056239,0,2015,"Cole Aldrich"
"203",0.600002328676608,0,2015,"Danilo Gallinari"
"236",0.594408181392436,0,2015,"Jeff Green"
"476",0.580772107325418,0,2015,"Pablo Prigioni"
"472",0.571496402618661,0,2015,"A.J. Price"
"332",0.564857553701465,0,2015,"Kyle Korver"
"639",0.559825625599079,0,2015,"Brandan Wright"
"508",0.558499964895899,0,2015,"Rajon Rondo"
"216",0.557695489426143,0,2015,"Taj Gibson"
"268",0.554339551345006,0,2015,"Jordan Hill"
"231",0.54590603311739,0,2015,"Gerald Green"
"241",0.541124137180256,0,2015,"Jorge Gutierrez"
"199",0.531318023136127,0,2015,"Tim Frazier"
"544",0.53112165730269,0,2015,"J.R. Smith"
"488",0.530342938955749,0,2015,"J.J. Redick"
"368",0.520635515358003,0,2015,"Wesley Matthews"
"478",0.520232396127212,0,2015,"Tayshaun Prince"
"237",0.513961272907098,0,2015,"Jeff Green"
"8",0.511033823443768,0,2015,"Alexis Ajinca"
"74",0.50357341863538,0,2015,"Corey Brewer"
"481",0.502678223142423,0,2015,"Tayshaun Prince"
"521",0.498687024240537,0,2015,"Thabo Sefolosha"
"252",0.497488109047524,0,2015,"Devin Harris"
"501",0.494643668289033,0,2015,"Nate Robinson"
"430",0.491544025890824,0,2015,"Lucas Nogueira"
"185",0.489754036982269,0,2015,"Reggie Evans"
"593",0.48880312262802,0,2015,"Evan Turner"
"353",0.48798386310546,0,2015,"Shaun Livingston"
"569",0.486477089817511,0,2015,"Sebastian Telfair"
"17",0.485040303675894,0,2015,"Lou Amundson"
"45",0.479941760619961,0,2015,"Nicolas Batum"
"219",0.476991550757922,0,2015,"Drew Gooden"
"446",0.475257989771685,0,2015,"Chandler Parsons"
"137",0.462629892998991,0,2015,"Samuel Dalembert"
"500",0.462270698457163,0,2015,"Nate Robinson"
"366",0.459551457477341,0,2015,"Kenyon Martin"
"100",0.455740675751406,0,2015,"DeMarre Carroll"
"475",0.449058825817905,0,2015,"Pablo Prigioni"
"585",0.444333551732176,0,2015,"Marcus Thornton"
"4",0.444006462052394,0,2015,"Jeff Adrien"
"281",0.443783557860819,0,2015,"Andre Iguodala"
"352",0.443347364315171,0,2015,"Jeremy Lin"
"169",0.440849166844266,0,2015,"Zoran Dragic"
"479",0.436834141235402,0,2015,"Tayshaun Prince"
"414",0.43201880228891,0,2015,"Shabazz Muhammad"
"149",0.431126302822275,0,2015,"Ed Davis"
"420",0.429936990220532,0,2015,"Gary Neal"
"182",0.429326449442413,0,2015,"Tyler Ennis"
